epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,345.555,0.9672,0.50208,1.01925,0.82469,0.67059,0.74471,0.56324,1.06011,1.30372,1.10058,0.0002378,0.0002378,0.0002378
91,357.82,0.96531,0.49153,1.07326,0.84352,0.66667,0.72559,0.54989,1.06583,1.30153,1.10463,0.000218,0.000218,0.000218
92,361.799,0.94916,0.46546,1.05799,0.81439,0.65385,0.72311,0.53972,1.10894,1.28411,1.11756,0.0001982,0.0001982,0.0001982
93,365.74,0.95234,0.47495,1.06852,0.77894,0.66329,0.71048,0.52581,1.08666,1.28791,1.10701,0.0001784,0.0001784,0.0001784
94,369.725,0.92262,0.45038,1.04385,0.78478,0.67059,0.69829,0.51918,1.086,1.26531,1.10502,0.0001586,0.0001586,0.0001586
95,373.713,0.93709,0.45905,1.04949,0.77431,0.67843,0.70833,0.53176,1.0701,1.28782,1.09544,0.0001388,0.0001388,0.0001388
96,377.737,0.9213,0.44924,1.03207,0.78426,0.67451,0.71773,0.54338,1.06488,1.30232,1.09536,0.000119,0.000119,0.000119
97,381.656,0.90299,0.45019,1.03745,0.78466,0.66667,0.72177,0.54394,1.07612,1.30397,1.1038,9.92e-05,9.92e-05,9.92e-05
98,385.692,0.89113,0.44504,1.02462,0.77267,0.67979,0.71893,0.53923,1.04818,1.28581,1.09088,7.94e-05,7.94e-05,7.94e-05
99,389.678,0.89256,0.43748,1.02219,0.7724,0.67872,0.72278,0.54334,1.04825,1.28804,1.09138,5.96e-05,5.96e-05,5.96e-05
100,393.703,0.86036,0.43434,1.0209,0.78698,0.67843,0.72091,0.54608,1.04023,1.30206,1.08639,3.98e-05,3.98e-05,3.98e-05
